module	T	B	N	F	fns
Millennium/SIC_D2048_A0Stratum.olean	31	2095	13554	0	9584
Millennium/SIC_D2048_Moduli.olean	286	3763	16362	2	15016
Millennium/SIC_D2048_Unconditional.olean	33	1020	2210	0	1963
Millennium/SIC_D20_Moduli.olean	207	5410	32828	4	12486
Millennium/SIC_Moduli_Report.olean	80	2191	6832	0	5771
Millennium/SIC_POVM_DualLinkClosure.olean	34	1606	5603	1	5268
Millennium/SIC_POVM_Functor.olean	15	1128	1326	0	1556
Millennium/SIC_POVM_ParityGate.olean	41	1213	3709	3	2065
Millennium/SIC_POVM_Stark.olean	59	1498	8615	0	5613
Millennium/SIC_POVM_Stark_Ob3ect.olean	24	863	2087	0	1857
Millennium/SIC_StarkUnit.olean	83	1860	9861	0	4810
Millennium/SMUGTConsummation.olean	50	1177	2744	0	2443
Millennium/SacredConvergence.olean	210	3514	17182	2	13437
Millennium/SemanticBranchVerifier.olean	26	1164	2243	1	1966
Millennium/SevenFortyFourDecomposition.olean	10	655	1629	0	1306
Millennium/SpiderMachine.olean	24	4560	9497	0	7800
Millennium/StandardModelFromGrammar.olean	207	9003	67404	0	64572
Millennium/StrongCPClosure.olean	12	852	1657	0	1510
Millennium/Suffering.olean	68	1395	3859	7	2909
Millennium/SumsetImprovedBounds.olean	43	1481	3753	0	3616
Millennium/SumsetNo3AP.olean	178	2889	13247	4	9180
Millennium/TetractysInit.olean	55	1252	4400	0	2980
Millennium/ThresholdFrobenius.olean	101	1747	5987	3	4644
Millennium/Thresholds.olean	102	1904	6813	1	6716
Millennium/TwinPrime.olean	22	2034	8081	0	6488
Millennium/UnificationConvergence.olean	61	1401	4014	0	3575
Millennium/UnifiedForcing.olean	70	1663	4949	1	4741
Millennium/UniverseRulesets.olean	259	5245	26837	0	15222
Millennium/Unsolved.olean	33	7283	7602	1	9514
Millennium/VAE_Vita_ManuscriptSpine.olean	11	1462	1110	0	1761
Millennium/VAE_Vita_Port.olean	15	827	1486	1	1563
Millennium/VAE_Vita_SIC_POVM_Bridge.olean	3	755	1574	0	1785
Millennium/VAE_Vita_Unify.olean	49	2093	13029	0	12687
Millennium/VoidConsensus.olean	106	2872	10736	1	9283
Millennium/WorldReligions.olean	464	10517	61103	3	52295
Millennium/WormwoodRevelation.olean	47	1329	5767	0	5277
Millennium/YM.olean	13	1181	3255	0	1820
Millennium/YM_Closure.olean	3	897	3688	0	2972
Millennium/YM_GateInhabitants.olean	48	1423	2693	1	2656
Millennium/YM_Mathematical_Witness.olean	118	1995	8868	0	8256
Millennium/YM_Witness.olean	7	626	854	0	999
Millennium/YM_ZFCt_Bridge.olean	48	3018	5030	1	5038
Millennium/Z7StructureConstants.olean	104	1742	5004	1	3959
Millennium/ZFCt_Unified_Bridge.olean	92	5403	4118	0	7321
Millennium/ZaunerEmbeddingEquivalence.olean	127	1232	2532	0	1930
Millennium/ZaunerTransportMap.olean	72	3319	20835	0	20786
Millennium/ZaunerUnitaryConstruction.olean	25	1156	3774	1	3080
Millennium/Zosimos_Stilling.olean	250	4179	46553	12	10727
Millennium/truth.olean	1	1774	1404	0	1808
MoDoT/ManuscriptSpine.olean	941	7373	37482	3	34515
MomonadOS.olean	93	15543	7016	6	6602
MomonadOS/AutopoieticConvergence.olean	91	2646	23302	0	23014
MomonadOS/SheafEnrichedFrobenius.olean	17	1073	2594	0	1366
Nuclear/IslandOfStability.olean	188	19156	68588	3	49668
NumberTheory/ErdosStrausProof.olean	215	4690	18902	3	12889
NumberTheory/GeneralizedStarkCorrespondence.olean	334	4906	20949	39	11377
NumberTheory/GrammarStarkCorrespondence.olean	147	3297	39806	0	15426
NumberTheory/HnGcdTheorem.olean	41	2187	1839	0	2203
NumberTheory/PrattCertificateMonad.olean	141	1656	6285	0	4870
NumberTheory/PrattOb3ectProtocol.olean	18	986	1665	0	1582
NumberTheory/PrattStratification.olean	78	5366	7650	1	8790
NumberTheory/StarkSunitD2048.olean	54	1255	2787	0	2469
NumberTheory/TwoThreeSierpinski.olean	18	1007	2866	0	2905
Ob3ects/apply_criticality_absorbing_element_entering_b_scaffold.olean	4	712	2192	0	1772
Ob3ects/categorical_join_scaffold.olean	13	715	1111	0	1291
Ob3ects/classical_non_commutative_complement_to_the_quan_scaffold.olean	1	1253	788	0	1400
Ob3ects/descent_to_stark_unit_bottleneck_for_the_d_19_br_scaffold.olean	4	2167	2160	0	2541
Ob3ects/enumerate_17_280_000_crystal_eigenstates_as_clas_scaffold.olean	11	679	1214	0	1116
Ob3ects/exact_density_matrix_recovery_with_zero_reconstr_scaffold.olean	36	1082	1088	0	1470
Ob3ects/exact_sic_geometry_achieved_with_frame_potential_scaffold.olean	8	720	2889	0	2137
Ob3ects/extract_144_exact_sic_probabilities_from_the_qua_scaffold.olean	6	657	903	0	1032
Ob3ects/fix_the_density_matrix_tomography_record_as_a_pe_scaffold.olean	10	632	832	0	973
Ob3ects/informational_completeness_duality_splitting_d_1_scaffold.olean	11	771	1413	0	1595
Ob3ects/initialize_empty_c_d_hilbert_space_before_basis_scaffold.olean	15	699	1054	0	1136
Ob3ects/seal_the_system_with_the_crystal_constraint_mani_scaffold.olean	13	790	2155	0	1967
Ob3ects/sic_povm_functor_scaffold.olean	7	695	1405	0	1618
Ob3ects/the_axiomatized_existence_of_a_d_12_weyl_heisenb_scaffold.olean	36	1143	3386	0	2678
Ob3ects/the_bruce_codex_tensor_bottleneck_at_parity_its_scaffold.olean	22	929	5628	0	1692
Ob3ects/the_d_12_sic_fiducial_known_only_as_a_complex128_scaffold.olean	31	1082	1946	0	1816
Ob3ects/the_navier_stokes_criticality_type_gate_blocked_scaffold.olean	14	1018	1601	0	1604
Ob3ects/the_p_versus_np_separation_gate_blocked_under_al_scaffold.olean	14	1119	6650	0	6862
Ob3ects/the_riemann_hypothesis_failing_to_reach_idempote_scaffold.olean	37	968	2573	0	2461
Ob3ects/the_rongorongo_corpus_at_structural_distance_d_1_scaffold.olean	24	1232	4857	0	3804
Ob3ects/the_structurally_closed_birch_swinnerton_dyer_cl_scaffold.olean	16	1202	5520	0	5065
Ob3ects/the_structurally_closed_hodge_conjecture_clay_ty_scaffold.olean	53	1038	1939	1	1767
Ob3ects/the_unclosed_p_versus_np_separation_lacking_a_st_scaffold.olean	18	979	2672	0	2461
Ob3ects/the_unclosed_riemann_hypothesis_gate_universe_la_scaffold.olean	144	1454	1973	0	1931
Ob3ects/the_vacuously_satisfied_navier_stokes_criticalit_scaffold.olean	29	796	1690	0	1576
Ob3ects/the_voynich_manuscript_as_a_universal_engine_wit_scaffold.olean	13	1561	3483	0	3697
Ob3ects/the_witness_vessel_protocol_culminates_in_a_tran_scaffold.olean	26	890	2234	1	1766
Ob3ects/the_yang_mills_mass_gap_closing_under_u10_with_g_scaffold.olean	35	1016	2671	0	2169
Ob3ects/the_yang_mills_mass_gap_reaching_idempotent_term_scaffold.olean	29	897	2922	0	2322
Ob3ects/the_zeros_of_s_correspond_to_the_eigenvalues_of_abe3fc55_scaffold.olean	20	1062	1749	1	1755
Ob3ects/tomographic_injection_scaffold.olean	11	634	894	0	1058
Ob3ects/unproven_status_lacking_exact_frobenius_closure_scaffold.olean	6	726	1790	0	1909
Ob3ects/weyl_heisenberg_orbit_generation_for_the_d_12_br_scaffold.olean	5	1460	1007	0	1214
Ob3ects/zauner_conjecture_bifurcation_splitting_general_scaffold.olean	7	777	1640	0	1829
Ob3ects/zauner_fiducial_scaffold.olean	6	765	2344	0	1102
ObjWitnessCosmos.olean	8	978	3576	1	2335
ObjWitnessVessel.olean	24	1003	2655	0	2971
OddRingIndex.olean	490	11026	44399	5	39410
Paraconsistent/B4Measurement.olean	37	4196	4631	0	5664
Paraconsistent/Belnap.olean	334	3026	14044	6	10116
Paraconsistent/BelnapAgreement.olean	39	697	1799	2	1602
Paraconsistent/BelnapCategory.olean	33	943	1207	0	1337
Paraconsistent/BelnapLL.olean	124	2583	17703	1	12374
Paraconsistent/BelnapSplitFuse.olean	52	1579	13514	0	4036
Paraconsistent/BelnapTemporal.olean	33	879	2452	0	2379
Paraconsistent/Betting.olean	305	5919	35087	2	30049
Paraconsistent/BlackHoleBelnap.olean	113	5585	11305	1	13986
Paraconsistent/ConsciousKernel.olean	16	600	979	0	1022
Paraconsistent/CosmologyBelnap.olean	260	3531	16870	6	11829
Paraconsistent/CrystalScheduler.olean	85	1359	4272	2	3334
Paraconsistent/DialetheicAlignment.olean	34	1649	3406	1	3197
Paraconsistent/ElectroweakBelnap.olean	406	4462	22632	5	16231
Paraconsistent/ExoticHadronBelnap.olean	363	3201	12960	7	9716
Paraconsistent/FDEAsymptotic.olean	887	4521	12167	4	9654
Paraconsistent/FTLTravel.olean	30	1321	3178	1	2970
Paraconsistent/FlavorMixing.olean	423	5814	23457	13	13044
Paraconsistent/FrobeniusFiltration.olean	55	1461	3935	1	3295
Paraconsistent/FrobeniusIso.olean	41	1146	2951	1	2400
Paraconsistent/GaugeBosonBelnap.olean	18	837	2073	0	1993
Paraconsistent/GeneralRelativity.olean	252	4179	25989	1	17473
Paraconsistent/GravitationalWaves.olean	147	4083	22878	0	21964
Paraconsistent/GravityStandardModel.olean	81	4072	3419	0	4334
Paraconsistent/HadronBelnap.olean	105	1677	6822	1	5727
Paraconsistent/HiggsMechanism.olean	100	1693	4974	0	4000
Paraconsistent/IncompletenessClosure.olean	10	669	1449	2	1356
Paraconsistent/Init.olean	27	1107	3139	0	3126
Paraconsistent/Kernel.olean	209	3436	14336	0	9652
Paraconsistent/LeptonBelnap.olean	536	6588	20785	20	15667
Paraconsistent/Main.olean	38	1326	2327	1	2273
Paraconsistent/MajoranaFixed.olean	4	805	1786	0	1878
Paraconsistent/MultiAgentBelnap.olean	22	940	3775	0	2078
Paraconsistent/NeutrinoOscillation.olean	52	6614	8163	0	8053
Paraconsistent/NuclearBelnap.olean	34	3005	9774	0	11264
Paraconsistent/OrbitalBelnap.olean	112	1659	7471	0	4845
Paraconsistent/Paraconsistent.olean	49	1077	5140	0	4811
Paraconsistent/ParaconsistentShell.olean	53	2394	29332	1	19079
